user_id,purchase_count
691468,436
32925,292
362951,228
45337,140
833675,128
742630,124
269712,105
616450,98
215971,96
257847,87
252311,83
981193,81
776484,80
491589,80
630850,79
313140,68
359031,68
733207,66
212798,66
375703,66
667260,65
472391,64
604252,64
113975,64
273636,61
832196,59
380920,59
45387,57
77034,57
958548,55
570030,55
764926,55
918534,53
320760,53
388317,52
676222,52
88342,51
576202,51
796263,49
283057,49
165402,49
542521,49
500378,48
489995,48
597442,48
313912,47
960432,44
404345,44
748397,44
262124,44
70714,44
501485,42
474580,42
706849,41
757406,41
172691,41
818141,40
96369,40
51637,39
995826,39
377223,39
349774,39
72033,38
137752,38
793027,38
556302,38
530487,37
691606,37
821140,37
134802,36
425551,36
46566,36
256185,35
402094,35
333954,35
408945,35
896669,35
580776,35
822475,35
362031,35
227475,34
273767,34
690751,34
366698,34
658521,34
41790,33
252421,33
375548,33
500260,33
761246,33
659410,32
577688,32
233246,32
936462,32
756548,32
835431,31
777877,31
677072,31
566967,31
845608,31
27229,31
725872,31
722986,31
975196,31
448467,31
768426,31
560601,30
386336,30
907296,30
208439,30
336066,30
456355,30
192312,30
234006,30
933801,29
318850,29
734062,29
879713,29
768673,29
712415,29
78488,29
260350,29
669288,28
845347,28
127505,28
314515,28
772923,28
221624,28
365013,28
267711,28
887647,28
515542,28
495160,28
971553,28
266243,27
457730,27
448164,27
453881,27
61342,27
131088,27
675604,27
815707,27
681467,27
890869,27
886843,27
132361,27
984633,26
67603,26
638535,26
437161,26
994398,26
208242,26
46885,26
559207,26
58729,26
441632,26
112436,26
401141,25
333358,25
526458,25
827092,25
55094,25
222764,25
546525,25
82199,25
275108,24
365674,24
580936,24
257154,24
781097,24
611557,24
703586,24
47002,24
406567,24
326425,24
176455,24
995412,24
602305,24
321447,24
52469,24
215267,24
667471,24
503301,24
281976,24
869839,24
464459,24
802731,23
341240,23
795160,23
461191,23
850430,23
673509,23
713490,23
663461,23
663788,23
785507,23
826039,23
738066,23
67610,23
214108,23
31844,23
853733,23
977051,23
357689,23
161367,23
126879,22
539693,22
20659,22
939339,22
418925,22
116211,22
146524,22
730953,22
503667,22
395158,22
404424,22
922136,22
46457,22
846375,22
822018,22
778217,22
5353,22
545623,22
387308,22
607884,22
697209,22
471459,22
293351,22
984042,22
815966,22
238654,22
638308,21
235111,21
759150,21
665724,21
231087,21
257971,21
180531,21
360989,21
2042,21
261528,21
60363,21
577120,21
153364,21
234255,21
709608,21
178651,21
695899,21
142096,21
144691,21
35597,21
551503,21
600375,21
904958,21
422015,21
268171,21
975971,21
163549,21
526803,21
620805,21
70088,20
97207,20
577667,20
609537,20
434928,20
476519,20
249148,20
83718,20
46781,20
970234,20
231198,20
21281,20
401729,20
24189,20
736692,20
344988,20
130024,20
582668,20
983718,20
375120,20
515496,20
399244,20
290620,20
24677,20
889155,20
212438,20
439590,20
555916,20
566013,20
804772,20
771320,20
814168,20
198899,19
793453,19
698893,19
950400,19
8033,19
343809,19
144598,19
249397,19
915226,19
996512,19
504121,19
132049,19
69781,19
973422,19
430819,19
730602,19
126678,19
136644,19
791274,19
82538,19
285293,19
360573,19
250765,19
704084,19
233331,19
151858,19
308564,19
884345,19
92826,19
957763,19
925625,19
777615,19
706225,19
85650,19
11841,19
487545,19
806242,19
663036,19
30583,19
649275,18
220285,18
941136,18
267326,18
969862,18
744119,18
806600,18
162244,18
845148,18
288877,18
916978,18
671563,18
722452,18
139262,18
957038,18
601243,18
458740,18
106267,18
225436,18
391410,18
3739,18
255578,18
970672,18
153782,18
999231,18
257215,18
48287,18
63956,18
480020,18
758927,18
663673,18
516206,18
827596,18
9259,18
569779,18
419319,18
358722,18
17399,18
341876,18
468958,17
316078,17
372268,17
526586,17
486887,17
302737,17
358497,17
735087,17
852045,17
961107,17
381092,17
317904,17
652772,17
955875,17
594276,17
731517,17
350532,17
849603,17
966605,17
776382,17
990657,17
644810,17
766954,17
591660,17
736602,17
166307,17
273369,17
57297,17
539191,17
720996,17
146449,17
425980,17
546282,17
469514,17
77138,17
322558,17
279715,17
297521,17
688256,17
466487,17
914826,17
151307,17
767346,17
39108,17
178484,17
930348,17
711548,17
786293,17
462822,17
425606,17
348121,17
744573,17
202639,17
829100,17
378405,16
660164,16
495314,16
293159,16
159233,16
594995,16
899730,16
555327,16
313026,16
750497,16
588790,16
490676,16
17636,16
300134,16
994907,16
822433,16
510788,16
259195,16
167838,16
338439,16
471814,16
918384,16
235634,16
508815,16
928101,16
582401,16
317401,16
382381,16
786791,16
764672,16
361620,16
720118,16
793741,16
360286,16
169596,16
54373,16
111842,16
231562,16
215092,16
993433,16
393306,16
718269,16
46710,16
501378,16
521950,16
187773,16
100157,16
38858,16
316713,16
209673,16
52239,16
350583,16
603880,16
726839,16
145029,16
197403,16
753076,16
787644,16
793081,16
860976,16
400495,16
973766,15
885960,15
327294,15
122212,15
324826,15
294444,15
2927,15
214197,15
921077,15
647498,15
316497,15
583559,15
758242,15
101474,15
862173,15
240454,15
774069,15
170342,15
233339,15
452273,15
936970,15
179617,15
880920,15
731774,15
525529,15
567581,15
902599,15
785988,15
121399,15
306812,15
788759,15
910934,15
522824,15
769553,15
566309,15
819972,15
571227,15
704322,15
738480,15
455516,15
887723,15
319294,15
908805,15
83582,15
545532,15
214703,15
64844,15
346642,15
816183,15
441333,15
961380,15
212578,15
485331,15
679028,15
19177,15
627896,15
335791,15
72751,15
398482,15
490698,15
817744,15
151697,15
108837,15
309261,15
951795,15
523001,15
230329,15
888739,15
